iter	Passed	Remaining
0	1	121
1	2	114
2	3	112
3	4	104
4	5	103
5	6	102
6	7	101
7	8	100
8	9	100
9	10	98
10	12	97
11	13	97
12	14	95
13	15	94
14	16	93
15	17	92
16	18	90
17	19	89
18	20	88
19	21	87
20	22	86
21	24	85
22	25	84
23	26	83
24	27	82
25	28	80
26	29	79
27	30	78
28	31	77
29	32	76
30	33	75
31	34	74
32	35	72
33	37	71
34	38	70
35	39	69
36	40	68
37	41	67
38	42	66
39	43	65
40	44	64
41	45	62
42	46	61
43	47	60
44	48	58
45	49	57
46	50	56
47	51	55
48	52	54
49	53	53
50	54	52
51	55	51
52	57	50
53	58	49
54	58	48
55	59	47
56	61	46
57	62	44
58	63	43
59	64	42
60	65	41
61	66	40
62	67	39
63	68	38
64	69	37
65	70	36
66	71	35
67	72	34
68	73	32
69	74	31
70	75	30
71	76	29
72	77	28
73	78	27
74	79	26
75	80	25
76	81	24
77	82	23
78	83	22
79	84	21
80	85	20
81	86	18
82	87	17
83	88	16
84	89	15
85	90	14
86	91	13
87	92	12
88	93	11
89	94	10
90	95	9
91	96	8
92	97	7
93	98	6
94	99	5
95	100	4
96	101	3
97	102	2
98	103	1
99	104	0
